Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
1999-12-31,28.69498443603516,7.011088848114014,,18.375,,1.1603065729141235,16.561328887939453,14.46875,,30.9253044128418
2000-01-03,27.66884994506836,6.7576751708984375,,18.25,,1.245553731918335,16.145748138427734,15.5,,29.994441986083984
2000-01-04,26.56943130493164,6.564601421356201,,17.8125,,1.2076661586761477,14.791295051574707,14.625,,28.80500602722168
2000-01-05,27.33903694152832,6.5525336265563965,,18.0,,1.2124019861221311,15.083735466003418,15.0,,29.11529922485352
2000-01-06,29.53787612915039,6.781809329986572,,18.03125,,1.1887223720550537,15.206868171691895,16.0,,29.34800910949707
2000-01-07,30.12423896789551,6.854215621948242,,17.9375,,1.2218739986419678,15.945663452148438,16.25,,29.91687202453613
2000-01-10,29.9776554107666,6.8059444427490225,,20.5,,1.2834413051605225,16.561328887939453,17.5,,31.26146125793457
2000-01-11,29.46457290649414,6.709408760070801,,19.8125,,1.3402726650238037,15.42234992980957,17.25,,31.41659927368164
2000-01-12,29.53787612915039,6.6491289138793945,,19.59375,,1.2834413051605225,15.345394134521484,18.125,,32.06302261352539
2000-01-13,29.53787612915039,6.5881285667419425,,21.0,,1.2976490259170532,16.161148071289062,18.875,,32.606033325195305
2000-01-14,29.116436004638672,6.7345314025878915,,21.375,,1.2834413051605225,16.330451965332028,20.1875,,34.44189071655273
2000-01-18,28.4751033782959,6.5881285667419425,,26.0,,1.2881770133972168,15.760963439941404,19.5,,32.24402618408203
2000-01-19,28.96983528137207,6.45392656326294,,24.375,,1.269233465194702,15.54548454284668,19.59375,,32.42502975463867
2000-01-20,27.88872718811035,6.2587223052978525,,23.5,,1.1981942653656006,15.714791297912598,19.5,,32.140609741210945
2000-01-21,27.83376693725586,6.087918281555176,,29.4375,,1.1460988521575928,15.483920097351074,18.9375,,33.09731292724609
2000-01-24,27.19243812561035,5.8561153411865225,,31.375,,1.136626958847046,14.9144287109375,17.25,,33.09731292724609
2000-01-25,26.7893180847168,5.782914161682129,,28.75,,1.0987393856048584,15.514699935913086,20.0,,31.44244384765625
2000-01-26,28.236896514892575,5.7951107025146475,,28.875,,1.202929973602295,15.068344116210938,18.5,,29.968589782714844
2000-01-27,28.21856689453125,6.0147199630737305,,29.0,,1.3023849725723269,15.437745094299315,18.46875,,31.390727996826172
2000-01-28,27.04585075378418,6.222121715545653,,29.4375,,1.2408177852630615,14.17563247680664,17.625,,31.59760093688965
2000-01-31,27.44897079467773,6.356324195861816,,29.25,,1.1839864253997805,13.55997085571289,18.0,,33.149024963378906
2000-02-01,27.59555244445801,6.417325973510742,,28.75,,1.2787052392959597,13.76006031036377,18.28125,,33.40759658813477
2000-02-02,27.1191463470459,6.45392656326294,,28.125,,1.316592812538147,15.099128723144533,18.03125,,32.812881469726555
2000-02-03,26.880922317504886,6.490527153015138,,26.75,,1.3308007717132568,17.007680892944336,19.5,,33.252456665039055
2000-02-04,26.111331939697266,6.7223334312438965,,27.5625,,1.1934583187103271,18.22361946105957,19.28125,,31.13216209411621
2000-02-07,25.68989562988281,6.600327968597412,,29.5625,,1.136626958847046,18.977798461914066,20.65625,,33.09731292724609
2000-02-08,25.708208084106445,6.661332130432129,,28.375,,1.117683172225952,20.624698638916016,20.6875,,34.93319320678711
2000-02-09,25.68989562988281,7.039535999298097,,27.375,,1.101103663444519,21.563587188720703,21.03125,,35.52790069580078
2000-02-10,25.213481903076172,6.8565311431884775,,29.4375,,1.0940033197402954,22.4716911315918,21.25,,34.28675079345703
2000-02-11,24.315608978271484,6.636930465698242,,29.5,,1.127155065536499,22.271596908569336,22.75,,33.924747467041016
2000-02-14,24.297292709350586,6.844334602355957,,29.25,,1.0892674922943115,22.071504592895508,21.625,,35.37275695800781
2000-02-15,26.12966346740723,6.8565311431884775,,32.5,,1.0608519315719604,21.88681411743164,21.75,,35.73474884033203
2000-02-16,25.891456604003906,6.771131038665772,,35.375,,1.0620338916778564,24.18015289306641,21.875,,36.484619140625
2000-02-17,26.27625846862793,6.685728073120117,,41.3125,,1.063215970993042,25.01129531860352,21.5,,36.381195068359375
2000-02-18,25.671573638916016,6.3685240745544425,,40.75,,1.0229642391204834,24.19554328918457,21.5,,36.40705490112305
2000-02-22,26.422836303710934,6.514927864074707,,36.9375,,1.0134924650192259,24.20323181152344,20.90625,,35.55375671386719
2000-02-23,27.41705703735352,6.270922183990479,,35.554649353027344,,0.9898126125335692,24.534160614013672,20.53125,,34.829742431640625
2000-02-24,27.02724456787109,6.197721481323242,,35.625,,0.9945487380027772,26.196443557739254,21.28125,,35.11418914794922
2000-02-25,25.467973709106445,6.2587223052978525,,37.625,,0.9661328196525574,24.257102966308594,20.25,,34.959041595458984
2000-02-28,25.672161102294922,6.466123580932617,,37.0,,0.9519249796867372,24.087804794311523,18.875,,35.50204086303711
2000-02-29,26.19192314147949,6.441725254058838,,36.96875,,0.9613969922065736,25.11903953552246,19.75,,34.67461395263672
2000-03-01,25.579349517822266,6.600327968597412,,33.625,,1.0987393856048584,24.718852996826172,20.25,,33.89889144897461
2000-03-02,25.560794830322266,6.539328575134277,,32.3125,,1.0987393856048584,19.85512351989746,19.625,,36.0450439453125
2000-03-03,26.58173179626465,6.3319244384765625,,33.875,,1.1224192380905151,22.317768096923828,20.75,,35.96747589111328
2000-03-06,25.913488388061523,6.100119590759277,,34.0625,,1.0892674922943115,21.132619857788086,23.75,,33.66617965698242
2000-03-07,24.57695960998535,5.782914161682129,,32.125,,1.0419080257415771,19.9936466217041,27.5,,32.94217300415039
